Business and Management,IT & Computer Science,Social Sciences,Humanities and Arts,Health and Medical Sciences,Engineering,Education,Law and Legal Studies,Communication and Media Studies,Agriculture and Environmental Studies,Architecture and Design
Accountancy,Communication and Information Sciences,Agricultural Economics,Arabic Language and Literature,Allied Health Sciences,Aeronautic & Astronautic Engineering,Adult Education,Commercial and Corporate Law,Broadcast Journalism,Agricultural Extension,Architecture
Accountancy/Accounting,Community Health and Information Guide,Agricultural Economics & Extention Services,Archaeology(History),Anatomy,Aerospace Engineering,Adult Education and Community Development Services,Commercial and Industrial Law,Communication,Agricultural Extension & Rural Development,Geography & Planning
Accounting,Computer Education,Agricultural Economics and Extension,Education(French),Anatomy and Cell Biology,Agric and Bioresources Engineering,Adult Education and Extension Services,Common/Islamic Law,Communication & Language Arts,Agricultural Extension and Development Studies,Geography and Regional Planning
Accounting Education,Computer Engineering,Agricultural Economics and Extention,Education(History),Animal Physiology,Agricultural & Bio-Resources Engineering,Adult Education and Lifelong Learning,Customary and Indigenous Law,Communication & Media Studies,Agricultural Extension and Rural Development,Industrial Design
Actuarial Science,Computer Science,Agricutural Economics,Education(Music),Animal Production and Health,Agricultural & Environmental Engineering,Adult and Consulting Education,Faculty of Law,Communication and General Studies,Agricultural Extention,Urban & Regional Planning
Administration,Computer Science Education,Consumer and Home Economics,English Language and Literature,B.Sc Herbal Pharmacy,Agricultural Engineering,Adult and Non-Formal Education,International Law,Communication and Media Studies,Agricultural Extention and Rural Development,Urban and Regional Planning
Administration and Planning,Curriculum and Instructional Technology(Computer Science),Criminology & Security Studies,English Literature,"Bachelor of Medicine, Bachelor of Surgery(MBBS)",Agricultural and Bio-Resources Engineering,Adult and Primary Education,International Law and Jurisprudence,Faculty of Communication and Media Studies,Agriculture,
Agribusiness,Cyber Security,Criminology and Security Studies,English and Literature,Basic Medical Science,Agricultural and BioResources Engineering,Agricultural Education,International and Comparative Law,Film and Multimedia Studies,Animal & Environmental Biology,
Agricultural Administration,Cyber Security Science,Curriculum and Instructional Technology(Social Studies),European Studies(French),Basic Medical Science and School of Medicine,Agricultural and Bioresources Engineering,Arabic Education,Islamic Law,"Igbo, African and Communication Studies",Animal And Environmental Biology,
Agricultural Economics and Agribusiness Management,Data Science and Analytics,Demography and Social Statistics,Fine Arts,Basic Medical Sciences,Agricultural and Biosystems Engineering,Arts Education,Jurisprudence & International Law,Journalism and Media Studies,Animal Biology,
Agricultural Economics and Farm Management,Electronics & Computer Engineering,Economics,Fine Arts and Design,Behavioural Medicine,Agricultural and Environmental Engineering,Biology Education,Jurisprudence and International Law,Mass Communication,Animal Breeding and Genetics,
Aquaculture and Fisheries Management,Electronics/Computer Engineering,Economics Education,Foreign Language and Literature,Biomedical Engineering,Agriculture/Bioresources Engineering,Chemistry Education,Jurisprudence and Legal Theory Law,"Mass Communication (Television Journalism, NTA College Jos)",Animal Nutrition,
Banking & Finance,Faculty of Computing and Informatics,"Education Psychology, Guidance and Counselling",Foreign Languages,Child Dental Health,Automotive Engineering,Christian Religious Studies Education,Jurisprudence and Private Law,"Mass Communication (Television Production, NTA College Jos)",Animal Nutrition and Biotechnology,
Banking and Finance,Geoinformatics and Surveying,Education and Economics,French,Clinical Pharmacy & Pharmacy Practice,Chemical Engineering,Curriculum Studies & Educational Technology,LLB with Specialization in Islamic Law,Telecommunication Sciences,Animal Production,
Business Administration,Information Science and Media Studies,Education(Economics),French Education,Clinical Pharmacy and Pharmacy Practice,Chemical Pathology,Curriculum Studies and Educational Technology,Law,,Animal Science,
Business Administration and Entrepreneurship,Information Systems,Education(Geography Social Science),History,College of Health Sciences,Chemical Pathology & Immunology,Curriculum and Instructional Technology(Biology),Private & Property Law,,Animal Science and Technology,
Business Education,Information Technology,Education(Political Science),History & International Studies,College of Medicine,Chemical Pathology and Immunology,Curriculum and Instructional Technology(Chemistry),Private Law,,Animal Sciences,
Business Law,Information and Communication Technology,Education(Social Studies),History Education,College of Veterinary Medicine (COLVET),Chemical and Life Sciences,Curriculum and Instructional Technology(Mathematics),Private and Commercial Law,,Animal and Environmental Biology,
Business Management,Information and Media Studies,Faculty of Arts and Social Sciences,History and Diplomatic Studies,Comm. Health and Pri. Health Care,Chemical and Petroleum Engineering,Curriculum and Instructional Technology(Physics),Private and Property Law,,College of Animal Science and Livestock Production (COLANIM),
